code,name,price,market_cap,per,pbr,div_yield,revenue_growth,operating_profit_growth,sector
7203.T,トヨタ自動車,2899.5,34334971002880,9.823153,0.94667786,3.45,5.512967750659992,-21.464947140975056,Consumer Cyclical
6758.T,ソニーグループ,3470.0,20377442975744,20.24268,2.5248888,1.01,3.6951064972031045,21.349892489411015,Technology
9984.T,ソフトバンクグループ,5424.0,30910961418240,6.215052,1.7541294,0.2,7.211603640938358,30.318262742205924,Communication Services
6861.T,キーエンス,70880.0,17190181928960,38.61008,4.9518433,0.78,10.399331536286338,8.364148970033192,Technology
7974.T,任天堂,7294.0,8408732270592,20.0,2.8465345,3.0,98.55844425635365,27.450681993530445,Communication Services
8306.T,三菱UFJフィナンシャル,3473.0,39164577841152,16.358925,2.0028338,2.76,9.983067773215492,,Financial Services
8411.T,みずほフィナンシャル,7930.0,19320956518400,15.772933,1.7087833,1.89,13.325632891039184,,Financial Services
8316.T,三井住友フィナンシャル,6721.0,25620457193472,16.313107,1.6177918,2.01,14.316136786262245,,Financial Services
2914.T,日本たばこ産業,6347.0,11268194828288,22.57353,2.7579799,3.81,13.444721103644476,183.3063978203805,Consumer Defensive
4519.T,中外製薬,7325.0,12055214030848,27.777777,6.319193,1.8,7.460206678392733,10.485385662783543,Healthcare
4568.T,第一三共,2791.0,5078652026880,19.880333,3.0517476,3.58,12.553386178758341,-30.981697672667018,Healthcare
7267.T,本田技研工業,1535.5,5977057263616,,0.5057797,4.56,0.4972297410913207,-134.14509932541455,Consumer Cyclical
8058.T,三菱商事,4447.0,16282684489728,21.18628,1.7247572,2.81,1.602752148356812,12.806355211710141,Industrials
8031.T,三井物産,4662.0,13212985589760,16.025576,1.5069997,3.0,-4.551696763607049,6.331897347836279,Industrials
8053.T,住友商事,1514.0,7174613893120,12.137246,1.5604773,2.64,0.6195074000793221,-1.6690410174237003,Industrials
8002.T,丸紅,4988.0,8114788630528,15.105539,1.8728842,2.31,6.106068572590484,-5.74345415151849,Industrials
9432.T,日本電信電話,151.1,12303109980160,11.97306,1.2652504,3.57,5.139788629135045,6.993787279765273,Communication Services
9433.T,KDDI,2868.0,10919447887872,15.62517,2.150731,2.93,4.050878027255478,-0.06905881886777321,Communication Services
9434.T,ソフトバンク(移動体),220.5,10546281709568,19.565216,3.5634637,3.99,7.553554983085409,5.415483672660493,Communication Services
9983.T,ファーストリテイリング,78840.0,24192133103616,50.505116,8.866651,0.81,9.559235732815786,12.627981565048874,Consumer Cyclical
6098.T,リクルートホールディングス,12820.0,17847638032384,36.90058,11.305005,0.21,3.9318022486716675,28.544694348915378,Communication Services
6367.T,ダイキン工業,24500.0,6819235233792,26.109661,2.2044191,1.47,5.527830003566669,3.316910192222955,Industrials
6981.T,村田製作所,7632.0,13892448157696,59.88231,5.1098876,0.92,5.019296160500009,0.7625973357358928,Technology
4063.T,信越化学工業,7157.0,13309835214848,28.328848,2.9765272,1.48,0.49663269756279327,-14.404969647152354,Basic Materials
6902.T,デンソー,1964.0,4923821916160,7.616241,0.9625469,3.77,3.9079648729723138,-45.44499051141063,Consumer Cyclical
9020.T,東日本旅客鉄道,3624.0,4091744354304,16.529076,1.3428285,2.32,6.8267491540415115,9.945141419422644,Industrials
9021.T,西日本旅客鉄道,2995.5,1363203588096,10.787598,1.1287553,3.25,8.073801014553172,9.946048556299324,Industrials
9022.T,東海旅客鉄道,3766.0,3581723279360,6.5962553,0.70976025,0.85,9.518862656106108,18.123777203878788,Industrials
6501.T,日立製作所,4717.0,21152978173952,26.737331,3.2314527,1.17,8.212006701167397,23.432234877100377,Industrials
6752.T,パナソニック,3993.0,9323355832320,49.259808,1.7889047,1.35,-4.841026768745305,-48.352905292054295,Technology
7751.T,キヤノン,4466.0,3793146871808,12.163966,1.1299181,3.58,2.547906003364653,2.3684175032707255,Technology
6762.T,東京エレクトロン,2968.0,5633721499648,28.818333,2.5757291,1.35,13.607274290799287,21.50924207821867,Technology
6971.T,京セラ,3556.0,4616865972224,34.60154,1.4028426,1.57,2.767449641441311,255.95055253792847,Industrials
4502.T,武田薬品工業,5480.0,8750197899264,,1.1652969,3.72,-1.6551381835539947,-0.41147586680103654,Healthcare
4503.T,アステラス製薬,2151.0,3853499760640,13.262223,2.1068385,3.72,11.866300828887177,844.2928841184655,Healthcare
4661.T,オリエンタルランド,2729.5,4475606532096,36.765896,4.0686584,0.59,3.7041452866903857,-2.1486133948440234,Consumer Cyclical
8802.T,三菱地所,4112.0,4947266502656,22.624485,1.8445879,1.22,10.52884773631293,6.628680084855376,Real Estate
8801.T,三井不動産,1537.0,4136506228736,15.220836,1.2741715,2.41,10.157139985960573,9.727075489194581,Real Estate
1925.T,大和ハウス工業,4582.0,2837848260608,8.090546,0.9796688,2.86,2.6135552996337186,12.557158704414896,Real Estate
3382.T,セブン&アイ・ホールディングス,2080.0,4808425078784,17.51284,1.3034345,2.88,-12.883359746063604,0.4753014280420631,Consumer Defensive
8050.T,広島銀行,7420.0,606524145664,27.62472,3.450415,1.16,10.153440264615554,45.35097217645121,Consumer Cyclical
